property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_price_min,list_price_max,list_date,sold_price,last_sold_date,assessed_value,estimated_value,tax,tax_history,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,agent_id,agent_name,agent_email,agent_phones,agent_mls_set,agent_nrds_id,broker_id,broker_name,builder_id,builder_name,office_id,office_mls_set,office_name,office_email,office_phones,nearby_schools,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/2704-Amberglow-Ct_Round-Rock_TX_78665_M84240-32094,8424032094,2975004046,AUTX,8175684,SOLD,"Welcome to Settler's Overlook! This charming 2003 build and 1, 498 sq. ft. home was the original model for the builder. Set on a generous lot that offers plenty of outdoor space, including a charming wrap-around front porch and a private, fenced-in backyard patio. Recent upgrades make this home truly move-in ready, with a NEW roof, upgraded flooring, and fresh paint on the first floor. The 2.5 bathrooms have also been thoughtfully enhanced, with updated finishes and fresh paint to move beyond the original builder-grade look. This home is equipped with a sprinkler system to keep the landscaping lush and a wired security system for added peace of mind. A detached garage completes this inviting home. HOA includes a community pool, splash pad, 3 small parks, and a gymcome see it for yourself!",SINGLE_FAMILY,2704 Amberglow Ct,2704 Amberglow Ct,,Round Rock,TX,78665,3,2,1,1498,2003,85,309995,,,2024-11-14,,2025-02-07,292460,310601,5642,"[{'year': 2024, 'tax': 5642, 'assessment': {'building': None, 'land': None, 'total': 292460}}, {'year': 2023, 'tax': 5546, 'assessment': {'building': None, 'land': None, 'total': 265873}}, {'year': 2022, 'tax': 5566, 'assessment': {'building': None, 'land': None, 'total': 241703}}, {'year': 2021, 'tax': 5425, 'assessment': {'building': 166452, 'land': 53278, 'total': 219730}}, {'year': 2020, 'tax': 4960, 'assessment': {'building': 169509, 'land': 49848, 'total': 219357}}, {'year': 2019, 'tax': 5064, 'assessment': {'building': 169561, 'land': 43870, 'total': 213431}}, {'year': 2018, 'tax': 4956, 'assessment': {'building': 158865, 'land': 41000, 'total': 199865}}, {'year': 2017, 'tax': 4708, 'assessment': {'building': 144757, 'land': 41000, 'total': 185757}}, {'year': 2016, 'tax': 4363, 'assessment': {'building': 132592, 'land': 34600, 'total': 167192}}, {'year': 2014, 'tax': 3511, 'assessment': {'building': 119249, 'land': 30000, 'total': 149249}}, {'year': 2013, 'tax': 3127, 'assessment': {'building': None, 'land': None, 'total': 130124}}, {'year': 2012, 'tax': 3064, 'assessment': {'building': None, 'land': None, 'total': 132369}}, {'year': 2011, 'tax': 3116, 'assessment': {'building': None, 'land': None, 'total': 136787}}, {'year': 2010, 'tax': 3257, 'assessment': {'building': None, 'land': None, 'total': 137886}}, {'year': 2008, 'tax': 3009, 'assessment': {'building': None, 'land': None, 'total': 137663}}]",False,7579,,30.547948,-97.634214,Settlers Overlook,Williamson,48491,2,34,2,4831221,Lynnette Gonzalez,lynnette@choosecharlieteam.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '5125378492'}]",A-AUTX-748616,785055738,3685431,All City Real Estate -  Broker,,,2758370,O-AUTX-8137,All City Real Estate,kevin@kevinscanlan.com,"[{'number': '(512) 775-3846', 'type': 'Office', 'primary': True, 'ext': None}]",Round Rock Independent School District,http://ap.rdcpix.com/d1b8e51c36178500427b684d8a378330l-m1435611131od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/d1b8e51c36178500427b684d8a378330l-m1435611131od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2552-Caleb-Asher-Loop_Round-Rock_TX_78665_M92727-09481,9272709481,2974837496,AUTX,6757748,SOLD,"UNDER CONSTRUCTION - EST COMPLETION IN DECEMBER Photos are representative of plan and may vary as built. Step inside the Crosshaven floorplan at our Avery Centre community in Round Rock, TX. This home offers 1, 757 square feet of living space across 3 bedrooms and 2.5 bathrooms. This floorplan offers 2 exterior elevations to choose from. As you enter the home you'll find the open concept living room and dining area with a convenient powder bathroom. The kitchen features stainless steel appliances, white cabinets, and Silestone kitchen countertops. The main bedroom is located off the kitchen and featured an adjoined bathroom with double vanity sinks, a separate water closet, walk-in shower, and spacious walk-in closet.",SINGLE_FAMILY,2552 Caleb Asher Loop,2552 Caleb Asher Loop,,Round Rock,TX,78665,3,2,1,1757,2024,80,346990,,,2024-11-12,,2025-01-31,32500,344000,1140,"[{'year': 2024, 'tax': 1140, 'assessment': {'building': None, 'land': 32500, 'total': 32500}}, {'year': 2023, 'tax': 1232, 'assessment': {'building': None, 'land': 10232, 'total': 10232}}]",False,5031,,30.557013,-97.630814,,Williamson,48491,2,112,2,768324,Dave Clinton,clreynolds@drhorton.com,"[{'ext': None, 'primary': True, 'type': 'Home', 'number': '5125331411'}]",A-AUTX-245076,,4211524,D.R. Horton Austin -  Broker,,,1740034,O-AUTX-4485,"D.R. Horton, America's Builder",,"[{'number': '8306241046', 'type': 'Office', 'primary': True, 'ext': None}]","Round Rock Independent School District, Orenda Charter School",http://ap.rdcpix.com/25704df97cd183de80b795dd4e71ea05l-m1524738752od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/25704df97cd183de80b795dd4e71ea05l-m1524738752od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/5672-Porano-Cir_Round-Rock_TX_78665_M75487-25294,7548725294,2974064051,AUTX,1521350,SOLD,"Stake your claim in Texas! Meritage Homes is a builder that takes pride in designing and building homes that are innovative, built with care and superior craftsmanship. This enduring value still shows today. October 2024 the interior was professionally painted, all carpet was removed and luxury vinyl plank was installed in its place. Front room with lovely French doors could be your private office, reading room or study. Large primary in on the main level. In addition the utility room is on the first floor. Upstairs is a tremendous game room, exercise space or even room for the grand piano! Don't miss the open kitchen area with the granite island. Just minutes from Round Rock, Hutto, Georgetown, Pflugerville and the toll road to Austin. Don't miss this opportunity to own your own piece of Texas.",SINGLE_FAMILY,5672 Porano Cir,5672 Porano Cir,,Round Rock,TX,78665,3,3,,2663,2015,107,365000,,,2024-10-23,,2025-02-07,485222,370000,10146,"[{'year': 2024, 'tax': 10146, 'assessment': {'building': 393222, 'land': 92000, 'total': 485222}}, {'year': 2023, 'tax': 12264, 'assessment': {'building': 427447, 'land': 92000, 'total': 519447}}, {'year': 2022, 'tax': 14041, 'assessment': {'building': 273619, 'land': 65000, 'total': 338619}}, {'year': 2021, 'tax': 9629, 'assessment': {'building': 232737, 'land': 61795, 'total': 294532}}, {'year': 2020, 'tax': 8756, 'assessment': {'building': 235559, 'land': 59934, 'total': 295493}}, {'year': 2019, 'tax': 9084, 'assessment': {'building': 237868, 'land': 54500, 'total': 292368}}, {'year': 2018, 'tax': 9362, 'assessment': {'building': 231164, 'land': 50000, 'total': 281164}}, {'year': 2017, 'tax': 9158, 'assessment': {'building': 191294, 'land': 36900, 'total': 228194}}]",False,6639,,30.548579,-97.605614,Siena,Williamson,48491,2,25,2,1610875,PAM CIRKIEL,realtors@earthlink.net,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '5124221684'}]",A-AUTX-322140,,,,,,716370,O-AUTX-0532,M.E. GENE JOHNSON REALTY,realtors@earthlink.net,"[{'number': '5122446655', 'type': 'Office', 'primary': True, 'ext': None}]","Hutto Independent School District, Orenda Charter School",http://ap.rdcpix.com/57c4e7023138d2ae7d142fba2aa078a1l-m391478509od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/57c4e7023138d2ae7d142fba2aa078a1l-m391478509od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/6612-Casiano-Cv_Round-Rock_TX_78665_M87807-88680,8780788680,2973773527,CTTX,560157,SOLD,"This stunning property offers a blend of elegance and convenience with its custom paint and beautifully designed tile sections. The first-floor primary suite is a true retreat, featuring dual vanities, a luxurious soaking tub, a separate shower, and walk-in closet. Also on the main level is an additional bedroom and full bathroom, perfect for a guest room or home office. The heart of the home is the eat-in kitchen, which boasts a gas range, quartz countertops, and a spacious pantry. For added flexibility, theres also a versatile flex room downstairs that can be used as a formal dining room, office space, or whatever suits your needs. The home comes equipped with full gutters and $13, 000 whole house filtration system including reverse osmosis and water softener. Upstairs, you'll find an expansive bonus/game room as well as a separate media room, ideal for entertainment or relaxation. Additionally, youll find 2 more bedrooms and a full bathroom. Step outside to enjoy the extended patio with ceiling fans and a fully landscaped backyard, perfect for hosting gatherings. The three-car garage provides plenty of storage and parking. Located in a vibrant community with a range of amenities, including picnic areas, playgrounds, pools, recreational trails, sports fields, and courts, this home offers something for everyone. Plus, it's just minutes from Dell Diamond, Kalahari, and Old Settlers Park, with easy access to Austin, 79, 35, 130, Dell, Tesla, Samsung, and more. Dont miss the chance to make this exceptional property your new home!",SINGLE_FAMILY,6612 Casiano Cv,6612 Casiano Cv,,Round Rock,TX,78665,4,3,,2897,2020,105,500000,,,2024-10-18,,2025-01-31,518671,494723,11099,"[{'year': 2024, 'tax': 11099, 'assessment': {'building': 428671, 'land': 90000, 'total': 518671}}, {'year': 2023, 'tax': 13331, 'assessment': {'building': 395313, 'land': 90000, 'total': 485313}}, {'year': 2022, 'tax': 13458, 'assessment': {'building': 315481, 'land': 68000, 'total': 383481}}, {'year': 2021, 'tax': 11288, 'assessment': {'building': None, 'land': 57475, 'total': 57475}}, {'year': 2020, 'tax': 1766, 'assessment': {'building': None, 'land': 54500, 'total': 54500}}]",False,9239,,30.569307,-97.606651,,Williamson,48491,2,25,3,3289211,Natalie Chappelle,natalie@magnoliarealty.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '5126776653'}]",A-CTTX-0741650,317067639,,,,,,O-CTTX-W831007404,Magnolia Realty,kristis@magnoliarealty.com,"[{'number': '2542185940', 'type': None, 'primary': True, 'ext': None}]","Hutto Independent School District, Orenda Charter School",http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3842738846od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3842738846od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m1024628097od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m4035360284od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m1268657383od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2997744491od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2496183674od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3173174277od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3442427363od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m537307436od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2009991452od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3594466835od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3564593134od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m1613218891od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3299625980od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3209021688od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m155211746od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m1844731039od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m4240866498od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3349971374od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2864848084od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2376873542od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m781241065od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2006150242od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m135518574od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3094040930od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m10922727od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3927399383od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3519925420od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m1851483837od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2910712716od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m3387105011od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m4266759288od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2361767765od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/006270f1c263ee8c3c2df7d8ec5b300fl-m2988122803od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/2556-Caleb-Asher-Loop_Round-Rock_TX_78665_M96477-46113,9647746113,2974842743,AUTX,3876214,SOLD,"UNDER CONSTRUCTION - EST COMPLETION IN DECEMBER Photos are representative of plan and may vary as built. Explore the Wicklow floorplan at our Avery Centre community in Round Rock, TX. The Wicklow offers 1, 363 square feet of living space across 3 bedrooms, 2.5 bathrooms, and 2-stories. This home offers two different elevations to choose from. As you enter the home you'll notice the open concept layout with a spacious living room, dining area, and kitchen. The kitchen features stainless steel appliances, white cabinets, and beautiful Silestone countertops. You'll also find a convenient powder bathroom on the first floor, perfect for guests. Towards the back of the home, you'll find the backyard with a covered back patio and detached garage.",SINGLE_FAMILY,2556 Caleb Asher Loop,2556 Caleb Asher Loop,,Round Rock,TX,78665,3,2,1,1363,2023,80,361990,,,2024-11-12,,2025-01-31,32500,358000,1140,"[{'year': 2024, 'tax': 1140, 'assessment': {'building': None, 'land': 32500, 'total': 32500}}, {'year': 2023, 'tax': 1232, 'assessment': {'building': None, 'land': 10232, 'total': 10232}}]",False,5031,,30.557077,-97.630688,,Williamson,48491,2,112,2,768324,Dave Clinton,clreynolds@drhorton.com,"[{'ext': None, 'primary': True, 'type': 'Home', 'number': '5125331411'}]",A-AUTX-245076,,4211524,D.R. Horton Austin -  Broker,,,1740034,O-AUTX-4485,"D.R. Horton, America's Builder",,"[{'number': '8306241046', 'type': 'Office', 'primary': True, 'ext': None}]","Round Rock Independent School District, Orenda Charter School",http://ap.rdcpix.com/21dd728df4c8c7f671166fec16134ac9l-m1544364999od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/21dd728df4c8c7f671166fec16134ac9l-m1544364999od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2032-Cora-Ivy-Ln_Round-Rock_TX_78665_M96298-98601,9629898601,2975209134,AUTX,2778301,SOLD,"December Move-In! Airy and inviting spaces are calling you in this floor plan that weaves connective spaces with smart design. This two-story townhome makes the most of 1, 593 square feet of living space with the ease of having all three bedrooms and a centralized laundry area on the second floor. Your covered porch and patio are perfect for hosting the next cocktail hour or kicking back with a good read. Take advantage of High Performance Home included features such as Apple HomePod mini, Cat 6 wiring, Smart front door lock, Honeywell T6 Pro Smart Thermostat, LiftMaster garage opener with myQ Technology, wireless smart switches, eero meshnet wireless internet, smart home activation, Energy Star appliances, plus much more! This home has a HERS Score of 50",TOWNHOMES,2032 Cora Ivy Ln,2032 Cora Ivy Ln,,Round Rock,TX,78665,3,2,1,1536,2024,63,344065,,,2024-11-20,,2025-01-22,,346840,,,True,,,30.557186,-97.63887,,Williamson,48491,2,238,2,4006371,Kathryn Stredwick,kathryn@kathrynstredwick.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '5098518672'}]",A-AUTX-733464,,,,,,582287,O-AUTX-4313,First Texas Brokerage Company,ryan@efirsttexas.com,"[{'number': '2547734400', 'type': 'Office', 'primary': True, 'ext': None}, {'number': '2547734400', 'type': 'Office', 'primary': True, 'ext': None}, {'number': '2545412255', 'type': 'Mobile', 'primary': True, 'ext': None}]",Round Rock Independent School District,http://ap.rdcpix.com/b0388f22c629ce3026d5eda2958ec994l-m3859189695od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/b0388f22c629ce3026d5eda2958ec994l-m3859189695od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2940-Clinton-Pl_Round-Rock_TX_78665_M74746-14677,7474614677,2975928439,AUTX,3155082,SOLD,"Rare! Approximately 3425 sq. ft. Hammond/Meritage Homes, Single Story Home on Estate Lot with Salt Water Heated Pool & Spa. Beautifully maintained 5 bedroom plus computer area.2.5 bath, 2.5 car garage, in desirable Estates at Settlers Park. Huge open kitchen with unique light Hickory cabinets, granite counters, 6' island, butler's pantry & adjacent large utility room. Large Owner suite (MIL Plan) with a private door to the pool & patio area, two large walk-in closets, separate tub & shower. New roof shingles Oct. 2022 ($33K), 2- HVACs (2018) & 50 gal gas hot water heater 2023, pool heater(2022). Walking distance to the two Community Pools, Splash Pad & Workout Center. Also enjoy the 645 acre Old Settlers Park with miles of Hike & Bike Trails, 12 lighted Tennis Courts, 40, 000 sq. ft Water Park & Bright Lake for catch & release fishing only 1.5 blocks away! Bedroom #5 with French Doors, best used as a home office. Low Taxes! (No MUD Tax), RRISD with new elementary school. Incredible storage throughout! Custom Alder wood built in cabinets in family room. High ceilings and loads of upgrades. Dont miss this jewel! Delicately maintained and loved.",SINGLE_FAMILY,2940 Clinton Pl,2940 Clinton Pl,,Round Rock,TX,78665,5,2,1,3425,2005,48,685000,,,2024-12-07,,2025-01-24,503201,678000,9709,"[{'year': 2024, 'tax': 9709, 'assessment': {'building': None, 'land': None, 'total': 503201}}, {'year': 2023, 'tax': 9542, 'assessment': {'building': None, 'land': None, 'total': 457455}}, {'year': 2022, 'tax': 9577, 'assessment': {'building': None, 'land': None, 'total': 415868}}, {'year': 2021, 'tax': 9335, 'assessment': {'building': 304805, 'land': 73257, 'total': 378062}}, {'year': 2020, 'tax': 8534, 'assessment': {'building': 315965, 'land': 66447, 'total': 382412}}, {'year': 2019, 'tax': 8828, 'assessment': {'building': 313105, 'land': 66447, 'total': 379552}}, {'year': 2018, 'tax': 8813, 'assessment': {'building': 304719, 'land': 62100, 'total': 366819}}, {'year': 2017, 'tax': 8641, 'assessment': {'building': 294153, 'land': 62100, 'total': 356253}}, {'year': 2016, 'tax': 8369, 'assessment': {'building': 275263, 'land': 50600, 'total': 325863}}, {'year': 2014, 'tax': 7040, 'assessment': {'building': 256314, 'land': 42900, 'total': 299214}}, {'year': 2013, 'tax': 6579, 'assessment': {'building': None, 'land': None, 'total': 271849}}, {'year': 2012, 'tax': 6401, 'assessment': {'building': None, 'land': None, 'total': 284840}}, {'year': 2011, 'tax': 6707, 'assessment': {'building': None, 'land': None, 'total': 283764}}, {'year': 2010, 'tax': 6758, 'assessment': {'building': None, 'land': None, 'total': 281329}}, {'year': 2008, 'tax': 6015, 'assessment': {'building': None, 'land': None, 'total': 275173}}]",False,11500,,30.548749,-97.625214,Estates at Settlers Park,Williamson,48491,1,34,2,739200,"Janis Gillia, Agent",pgillia@austin.rr.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '5124315900'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '5124315900'}, {'ext': None, 'primary': True, 'type': 'Home Office', 'number': '5123102211'}]",A-AUTX-274858,785000619,3213287,Home Select Realty -  Broker,,,696982,O-AUTX-4943,Home Select Realty,pgillia@austin.rr.com,"[{'number': '5123885454', 'type': 'Office', 'primary': True, 'ext': None}]",Round Rock Independent School District,http://ap.rdcpix.com/6511de1a72ea3fab3b33c9ae206af778l-m2872076886od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/6511de1a72ea3fab3b33c9ae206af778l-m2872076886od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2239-Oscar-Eli-Pl_Round-Rock_TX_78665_M96833-49933,9683349933,2975182118,AUTX,5612286,SOLD,"MLS# 5612286 - Built by Century Communities - Ready Now! ~ The stylish two-story San Jacinto at The Hollows at Avery Centre features an inviting open-concept layout with an abundance of living space. Upon entering the home, an inviting entryway guides you to a dining area, a well-appointed kitchen and an expansive great room with direct access to the patio. As you head upstairs, youll find two spacious secondary bedroomseach with a walk-in closetplus a full hall bath and a convenient laundry room. Youll also love the private owner's suite, featuring a spacious walk-in closet and an attached spa-like bath.",SINGLE_FAMILY,2239 Oscar Eli Pl,2239 Oscar Eli Pl,,Round Rock,TX,78665,3,2,1,1433,2024,64,354990,,,2024-11-19,,2025-01-22,,351485,,,True,3920,,30.552358,-97.639853,,Williamson,48491,2,62,2,560046,Ben Caballero,caballero@homesusa.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '8888726006'}]",A-AUTX-096651,798501920,,HomesUSA.com -  Broker,,,1084917,O-AUTX-2160,HomesUSA.com,leads+homesusacom1091-o-1@kvcore.com,"[{'number': '8888728006', 'type': 'Office', 'primary': True, 'ext': None}]",Round Rock Independent School District,http://ap.rdcpix.com/76fd23ff54c856291745a98d7a95bac6l-m2238904213od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/76fd23ff54c856291745a98d7a95bac6l-m2238904213od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2606-Caleb-Asher-Loop_Round-Rock_TX_78665_M92457-43659,9245743659,,,,SOLD,,SINGLE_FAMILY,2606 Caleb Asher Loop,2606 Caleb Asher Loop,,Round Rock,TX,78665,,,,,,,,,,,,2025-01-23,32500,337400,1140,"[{'year': 2024, 'tax': 1140, 'assessment': {'building': None, 'land': 32500, 'total': 32500}}, {'year': 2023, 'tax': 1232, 'assessment': {'building': None, 'land': 10232, 'total': 10232}}]",False,,,30.557258,-97.630332,,Williamson,48491,,,,,,,,,,,,,,,,,,,"Round Rock Independent School District, Orenda Charter School",,
https://www.realtor.com/realestateandhomes-detail/5764-Toscana-Trce_Round-Rock_TX_78665_M73256-61939,7325661939,2976351219,AUTX,6778804,SOLD,"This charming three-bedroom home feels surprisingly spacious thanks to its high ceilings throughout. Recently painted and move-in ready, it's an ideal place to call your own. The kitchen is perfect for entertaining, featuring a large island and an open floor plan. The great room is bathed in natural light, with expansive windows creating a bright and airy atmosphere. The primary bedroom offers a en suite with a separate shower and a walk-in closet. Step outside to the extended back porch, complete with two ceiling fans, wired for speakers, and plumbed for a natural gas grill. The backyard features a pea gravel area that currently holds a playscape and sandbox but could easily be transformed into a cozy fire pit zone. The owner is willing remove playscape if the buyer wishes. This house comes with a locked in REDUCED RATE as low as 6.125% (APR 6.368%) as of 12/13/2024 through List & Lock. This is a seller paid rate-buydown that reduces the buyers interest rate and monthly payment. Terms apply, see disclosures for more information.",SINGLE_FAMILY,5764 Toscana Trce,5764 Toscana Trce,,Round Rock,TX,78665,3,2,,1616,2019,42,373000,,,2024-12-13,,2025-01-24,321158,367925,8373,"[{'year': 2024, 'tax': 8373, 'assessment': {'building': None, 'land': None, 'total': 321158}}, {'year': 2023, 'tax': 8254, 'assessment': {'building': None, 'land': None, 'total': 291962}}, {'year': 2022, 'tax': 8096, 'assessment': {'building': None, 'land': None, 'total': 265420}}, {'year': 2021, 'tax': 7813, 'assessment': {'building': 183774, 'land': 57517, 'total': 241291}}, {'year': 2020, 'tax': 7415, 'assessment': {'building': None, 'land': 54500, 'total': 54500}}]",False,8368,,30.570951,-97.604081,,Williamson,48491,1,25,2,180061,Curtis Reddehase,,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '5125657848'}]",A-AUTX-503524,,4298872,Sky Realty - Broker,,,2274404,O-AUTX-122801,Sky Realty,curtis@skyrealtyaustin.com,"[{'number': '(512) 342-8744', 'type': 'Office', 'primary': True, 'ext': None}]","Hutto Independent School District, Orenda Charter School",http://ap.rdcpix.com/f02a4cda6f62c74786c20846a28ed501l-m4084505907od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/f02a4cda6f62c74786c20846a28ed501l-m4084505907od-w480_h360_x2.webp?w=1080&q=75
